transaction_id,sender_id,receiver_id,amount,timestamp
TXN_000001,money_muling_1200_CYCLE_1_0,money_muling_1200_CYCLE_1_1,13809.91,2026-05-04 02:00:00
TXN_000002,money_muling_1200_CYCLE_1_0,money_muling_1200_CYCLE_1_1,8504.98,2026-05-02 14:00:00
TXN_000003,money_muling_1200_CYCLE_1_0,money_muling_1200_CYCLE_1_1,23268.2,2026-05-04 00:00:00
TXN_000004,money_muling_1200_CYCLE_1_0,money_muling_1200_CYCLE_1_1,18540.88,2026-05-02 13:00:00
TXN_000005,money_muling_1200_CYCLE_1_0,money_muling_1200_CYCLE_1_1,10909.79,2026-05-03 18:00:00
TXN_000006,money_muling_1200_CYCLE_1_1,money_muling_1200_CYCLE_1_2,9360.08,2026-05-02 06:00:00
TXN_000007,money_muling_1200_CYCLE_1_1,money_muling_1200_CYCLE_1_2,5866.13,2026-05-04 06:00:00
TXN_000008,money_muling_1200_CYCLE_1_1,money_muling_1200_CYCLE_1_2,11696.81,2026-05-03 22:00:00
TXN_000009,money_muling_1200_CYCLE_1_2,money_muling_1200_CYCLE_1_0,9015.23,2026-05-03 13:00:00
TXN_000010,money_muling_1200_CYCLE_1_2,money_muling_1200_CYCLE_1_0,12868.34,2026-05-01 18:00:00
TXN_000011,money_muling_1200_CYCLE_1_2,money_muling_1200_CYCLE_1_0,13033.23,2026-05-03 00:00:00
TXN_000012,money_muling_1200_CYCLE_1_2,money_muling_1200_CYCLE_1_0,8446.7,2026-05-03 04:00:00
TXN_000013,money_muling_1200_CYCLE_1_2,money_muling_1200_CYCLE_1_0,17960.61,2026-05-02 20:00:00
TXN_000014,money_muling_1200_CYCLE_2_0,money_muling_1200_CYCLE_2_1,8811.47,2026-05-01 19:00:00
TXN_000015,money_muling_1200_CYCLE_2_0,money_muling_1200_CYCLE_2_1,12495.64,2026-05-03 15:00:00
TXN_000016,money_muling_1200_CYCLE_2_0,money_muling_1200_CYCLE_2_1,4136.89,2026-05-03 21:00:00
TXN_000017,money_muling_1200_CYCLE_2_0,money_muling_1200_CYCLE_2_1,8550.7,2026-05-01 22:00:00
TXN_000018,money_muling_1200_CYCLE_2_0,money_muling_1200_CYCLE_2_1,11255.8,2026-05-01 12:00:00
TXN_000019,money_muling_1200_CYCLE_2_0,money_muling_1200_CYCLE_2_1,11788.99,2026-05-03 08:00:00
TXN_000020,money_muling_1200_CYCLE_2_1,money_muling_1200_CYCLE_2_2,9503.37,2026-05-02 05:00:00
TXN_000021,money_muling_1200_CYCLE_2_1,money_muling_1200_CYCLE_2_2,24698.07,2026-05-03 17:00:00
TXN_000022,money_muling_1200_CYCLE_2_1,money_muling_1200_CYCLE_2_2,7797.68,2026-05-01 18:00:00
TXN_000023,money_muling_1200_CYCLE_2_2,money_muling_1200_CYCLE_2_3,12498.17,2026-05-03 08:00:00
TXN_000024,money_muling_1200_CYCLE_2_2,money_muling_1200_CYCLE_2_3,22824.73,2026-05-04 10:00:00
TXN_000025,money_muling_1200_CYCLE_2_2,money_muling_1200_CYCLE_2_3,13977.82,2026-05-04 01:00:00
TXN_000026,money_muling_1200_CYCLE_2_2,money_muling_1200_CYCLE_2_3,21720.96,2026-05-04 03:00:00
TXN_000027,money_muling_1200_CYCLE_2_3,money_muling_1200_CYCLE_2_0,22233.17,2026-05-02 09:00:00
TXN_000028,money_muling_1200_CYCLE_2_3,money_muling_1200_CYCLE_2_0,18512.69,2026-05-01 10:00:00
TXN_000029,money_muling_1200_CYCLE_2_3,money_muling_1200_CYCLE_2_0,24027.31,2026-05-01 18:00:00
TXN_000030,money_muling_1200_CYCLE_2_3,money_muling_1200_CYCLE_2_0,4671.85,2026-05-03 06:00:00
TXN_000031,money_muling_1200_CYCLE_2_3,money_muling_1200_CYCLE_2_0,15217.98,2026-05-03 18:00:00
TXN_000032,money_muling_1200_CYCLE_3_0,money_muling_1200_CYCLE_3_1,20636.92,2026-05-02 03:00:00
